gene	lfqctrl1	lfqctrl2	lfqctrl3	lfqctrl4	lfqctrl5	lfqeae1	lfqeae2	lfqeae3	lfqeae4	lfqeae5	lfqeae6	mean_log2lfqctrl	mean_log2lfqeae	log2fc	p	q	neglogq	enriched	mitocarta
Gm20425	25.9176836534937	26.3559532408623	25.8937705263603	25.860909838066	25.95832437354	27.0993881048896	26.9236571783382	27.0038887853569	27.2130813711239	27.1853687908006	26.8780655105275	25.9973283264645	27.0505749568394	1.05324663037498	0.0000276726600603479	0.000693055575839759	10.49474133343	1	0
Coq10a	25.8742941853202	25.0639808991893	25.7503168948058	25.7293338358105	25.6480382440017	25.8207743804447	25.3911641212655	25.9533591888899	25.8821302983762	25.8396128595491	25.9728991761448	25.6131928118255	25.8099900041117	0.196797192286208	0.277334478662779	0.437375239846	1.19305654428296	0	1
Pi4ka	28.8316806323016	28.6718890341169	28.6203783607624	28.4868479076202	28.6228235479743	28.481776647994	28.5789190594442	28.5439579312363	28.8263257139199	28.4618188254947	28.2054107815186	28.6467238965551	28.5163681599346	-0.130355736620487	0.222685489383363	0.380128434573024	1.39544114839529	0	0
Ryr2	25.334734017596	25.6665220047281	25.2380495594061	24.2573147493385	25.4322431701934	25.3047295365326	25.1986923239922	25.0377493576161	25.2530277121144	24.743039599854	24.6218739103316	25.1857727002524	25.0265187400735	-0.159253960178926	0.576208550202828	0.713036834248042	0.487951489165764	0	0
Nbas	24.7571506993571	24.7799661688524	24.7426285170643	24.8851597516743	24.7769080703224	25.2048606523644	24.8998897654304	25.1435930984533	24.9710140736459	24.7685530589448	25.0014425569562	24.7883626414541	24.9982255342992	0.209862892845081	0.0218348916760639	0.0816900542030246	3.61369574941383	0	0
Wdfy1	25.1744758914472	25.5924914832887	25.0252554996745	25.1991792717329	25.6094995793695	25.8588250525151	24.858990998064	24.7504702452098	26.0101143625139	25.8307441998047	26.4549266518949	25.3201803451026	25.6273452516671	0.307164906564513	0.341852114125487	0.503403113209799	0.990213956262028	0	0
Rnf213	22.8760838329432	22.3743718538942	23.1366266695622	22.0308026266711	22.6931767214746	23.7249442805889	23.6335611230555	24.1332808357024	24.1814689474871	23.7312775927277	23.7745474011125	22.6222123409091	23.8631800301124	1.24096768920331	0.00125826526591731	0.0111417895314472	6.48787522093876	1	0
Dsp	24.9017319939852	24.4137069440623	25.1343388891813	24.4005428076289	24.3719892900809	24.1165628924841	23.6193011640835	24.0247906798632	24.4282865572594	23.5335027425128	25.4171564025814	24.6444619849877	24.1899334064641	-0.454528578523643	0.196027403722997	0.351613023460383	1.50793958716559	0	0
Ahnak	27.247080458459	25.6133832411179	28.1201079644825	28.6905246069269	28.1965740626679	27.7242287387004	27.1417041293987	27.22719976972	27.0391518310874	27.8736138292402	27.625334281542	27.5735340667308	27.4385387632814	-0.134995303449411	0.820141857365488	0.88990791549061	0.16827203604228	0	0
Myo1e	24.1592326418786	23.0512235475332	24.8499548037705	24.6204762478626	24.9988630907927	23.9396609902729	24.2955105602336	24.2042636648047	24.8230849695419	24.9754817101681	25.2835148555345	24.3359500663675	24.5869194584259	0.250969392058416	0.560540776941173	0.700372760266831	0.513805121041894	0	0
Ttc7b	27.1667211935421	26.6651940677324	26.4841147155507	26.3886867431636	26.5725943020638	26.6872573461769	26.7366030091787	26.5022591804645	26.7864369525844	26.8113968418725	25.9429747525712	26.6554622044105	26.5778213471413	-0.0776408572691771	0.694388352655705	0.802191845615335	0.31798079384353	0	1
Utrn	27.313371052493	27.1523821793898	31.2112952112786	29.9233738247006	31.0124527018143	28.3275738867936	27.612033587704	29.4990113417607	30.094589208905	29.131707015828	29.325773999683	29.3225749939352	28.9984481734457	-0.324126820489521	0.74672131858287	0.838644351254538	0.253868966535836	0	0
